review,tanggal komentar
"Yg bikin LCGC jelek adalah drivernya, yg nyetir mobil kyk nyetir beat karbu. Gaperlu denial memang banyak driver LCGC terutama matic yg nyetirnya ngawur dan kyk OKB.",2026-04-11 09:03:19
Itu pake rok atau taplak ka merah merona bener 😂,2026-04-12 06:55:43
"Menyala lcgc 🔥🔥👏😁, apapun pandangan tntg mbil lcgc yg penting jd driver yg paham lalu lintas, phm kondisi mbil sndri dan  doa jgn lp biar sm2 slmat dimanapun 😅",2026-04-25 07:15:39
Shift knob nya keren,2026-04-11 15:17:52
"Jujur emg ga kaya2 banget, gw juga baru beli mobil LCGC, tapi yg bilang miskin harus mikir sih apa dirinya punya mobil dan sanggup beli mobil? Karna mobil LCGC sekarang pun harga diatas 100jt, kalo second ya dibawah 100 masih ada, tapi uang diatas 10jt menurut gw dah banyak banget sih in this economy dan gw selalu menganggap orang yang punya mobil orang yg cukup, jadi sebenernya yg bilang orang punya mobil LCGC miskin perlu intropeksi diri apa dia punya mobil dan bisa beli mobil? Atau iri?",2026-05-05 22:45:23
Kalo boleh tau mobil apa ya kak ini??..,2026-04-12 01:20:16
mau beli Brio kuning di bilang Ani ani 😂,2026-04-12 15:59:13
Gw lebih suka Agya atau Ayla di banding Sigra atau calya. Absurd banget njirrr tuh mobil 🙏😅 (maaf untuk pengguna Sigra dan calya) 🙏😅,2026-04-13 12:25:37
Kaya itu bang...udh BS beli mobil... Lha kita baru bisa kridit motor 😂,2026-04-14 00:39:57
Hyundai Atoz termasuk LCGC apa tidak ya?,2026-04-10 16:05:40
"Ati2 kalo ada insiden nyawa taruhannya, soalnya kaleng banget. Gampang remuk",2026-04-13 03:17:47
"Pernah make agya, di bilang OKB sama pengguna NMAX. Pas gua make xpander, di bilang sombong, blagu😂. Serba salah kalau sama orang iri. Udah lah miskin, iri hati, paket lengkap miskin nya.",2026-04-13 05:22:36
"intinya apapun kendaraanmu, ngotak kalo dijalan . udah itu aja",2026-04-14 16:41:39
"Aneh sih, gw pas pake ayla 2025 buat kondangan dibilang miskin, giliran mudik pake si motuba innova 2005 bensin dibilang banyak duit. Anehhh",2026-04-12 10:18:37
Mau di cap.. dikasih istilah  apapun punya mobil LCGC walo thn lama itu salah satu  hal yg paling kami syukuri dan bangga krn manfaat nya.,2026-04-15 06:28:22
Just info ya tidak semua yg bawa LCGC ngk bisa beli Xpander/Stargazer kan saldo rek ngk muncul di gidat🙏😁,2026-04-12 08:01:00
Busett... Apa dikata gua yg cuma punya motuba 50 jt an😂😂,2026-04-18 15:22:47
lcgc aja udah d atas 150jt 😢 dan msh d bilang missqueen,2026-04-12 02:29:02
"Yang punya mobil LCGC dibilang mobil miskin, trus yang gak punya mobil bagaimana?",2026-04-11 08:33:06
Klo mobil LCGC trs ngisi bbmnya ga ngikutin standar pabrikan ya berarti itu orgnya msh butuh disubsidi 😂😂😂,2026-04-13 02:26:14
Gak apa apa lcgc  prinsipku. Semahal mahalnya motor luh klo hujan masih kehujanan klo panas pasti kepanasan. Mending naik mobil😂👍🏻,2026-04-11 11:09:33
"Wah sy belum mampu beli LCGC 😓, hanya bisa kebeli mobil tuwak thn 90 an",2026-04-16 06:33:24
Beli Hijet 1000 ahh..kan bukan LGBT😂,2026-04-14 02:42:48
"sg pnting ndue, lha aku ngene iki malah rak ndue blas 😢",2026-04-22 10:41:51
pengguna LCGC dikatai miskin  sama pemakai espresso dan vios taxi,2026-04-12 06:48:24
Saya malah menyarankan bagi yg baru mau beli mobil pertama dan duit pas2an mending beli Lcgc baru daripada mobil MPV second. Jadi ga mikir mobil bermasalah dijalan.,2026-04-14 05:33:12
"Sebenernya dijalan itu yg dilihat bukan tipe mobilnya , ada kok orang bawa pajero atau fortuner miskin dan sebaliknya orang bawa ayla/agya orang kaya ... tapi ini bukan masalah harta tapi ADAB dan ETIKA berkendara",2026-04-19 13:05:48
"User LCGC adalah kasta yang meng awang2, dibilang miskin dia pakai mobil, dibilang kaya mobilnya kayak kaleng krupuk 😂",2026-04-12 01:12:22
Yg penting ga keujanan n kepanasan,2026-04-16 14:34:21
"Gue punya LCGC & 2200 cc yg penting rumah besar & halaman parkiran luas, akses jln lebar, berkendara punya etika, kalau di jln posisi sdh benar ada yg ngeremehin/nyuruh2 gue langsung kasih paham",2026-04-12 14:06:17
"Bodo amat orang apa tentang LCGC, yang penting punya mobil , TAAT PAJAK, TAAT RAMBU LALULINTAS, DAN BELI CASH",2026-04-20 10:59:16
"Yg bkin image miskin itu usernya yg SDM rendah, modif lebay berasa mobil lu buar balap fast n furios 😂",2026-04-15 00:59:50
Sombong amat orang yg hujat2 LCGC,2026-04-17 11:56:49
Orang ga jelas berarti,2026-04-11 13:15:31
faktanya kebanyakan yg blg lcgc bocah fomo gapunya mobil intinya yang beneran orang kaya gabakal ngatain,2026-04-10 18:00:11
Gua beli tank baja ratakan semuanya..pada berisik ributin kendaraan🤣🤣🤣🤣,2026-04-12 11:32:13
"Gpp yg penting anak ga kehujanan haha dan irit bensin , bukan ga sanggup beli mobil mahal tpi takut sma bensin yang soalnya msh kelas menengah haha",2026-05-05 02:14:34
"Kenapa ya orang saling hina , hemm syukuri masing masing aja lah pak bapak , dunia aja ini",2026-05-04 20:48:50
