review,tanggal komentar
punya aq pun hqrus bersyukur.yng penting hqsil kerja .dqripada gak punya,11/19/2025 4:42
"betul bang. tapi maap, klau pnp order grab XL 6 orang tak cancel...😂😂😂😂maksimal 5 masih oke..",11/9/2025 11:07
salam kenal bos,10/21/2025 4:26
ga kena hujan sma ga kena panas aja udah allhamdulilah bangg,11/26/2025 11:12
"kenapa sih sigra kayak rendah banget padahal ini mobil nyaman bagi keluarga kecil ku ,bahkan abang bilang ini mobil miskin norak?! bg gausah gitu bg iya abg bisa beli apa aja kami miskin iya padahal bapa gua dah bener di jalan heran gua serba salah punya mobil aja salah😹💔🥀",11/3/2025 10:50
"di nikmatin ajalah,mobil pertama hasil kerja keras sendiri hidup ga usah bandingin standar orang lain",9/4/2025 15:28
"mw gimana lg cuma sigra yg q punya, tp anak istri q bangga punya sigra, klo pulang kampung mreka bisa tdur nyenyak tiba2 dah nyampe lokasi 🥰🥰",9/5/2025 7:29
gpp sigra yang penting beli uang sendiri,10/24/2025 23:25
"baru 1 bulan ambil calya seken rencananya mau ambil reborn atau rush, setelah di pikir² mending ambil calya aja dlu sisa uang nya buat ngurus kebun sawit sama dimasukin tabungan biar 2 tahun kedepan bisa ambil mobil impian😹",9/4/2025 23:23
mending mobil sigra hasih kringat sndiri. dri pda mbil mewah tpi hasil warisan,9/6/2025 23:13
"Sigra mah nyium bau bensin dikit udah bisa jalan, irit pol🤣",9/5/2025 10:36
"SUSPENSI OK, KOPLING OK,IRIT,AC DAH 5 TAHUN BLM GW CEK MASIH DINGUN DI SET DI BAR 1.SEHAT MOBIL SIGRA 2021 GW KRNA DIRAWAT N JGAN SI MODIF..GW SAKSI HIDUP BETAPA NYAMAN SIGRA 2021 MANUAL LAGI...ada yg mau debat???",9/7/2025 5:26
iya memang mobil ini sagat tidak nyaman bagi orang yg sudah terlanjur kaya. tp kalau bagi saya sudah cukup istimewa,9/4/2025 15:08
kalo ga pernah punya bakal remehin nih mobil.. kalo udah punya enak banget hadling nya,9/4/2025 12:35
mau di bilang apa kek itu sigra yg penting banyak bersyukur,9/4/2025 12:16
ini memang mobil murahan tapi bagi kmi yg menengah ke bawah ini udh mahal... aku bersukur bisa beli mobil ini,9/5/2025 13:28
jangan tanya nyaman.ini itu apalgi di bandingin dengan mobil kelas koruptor jauh beda.ini mobil ekonomis.yg mau diajak susah.,9/4/2025 15:24
"Mobil yang suspesinya paling keras di jalanan yg jelek dan bantingan di tikungan kurang nyaman menurut versi saya, 1.avanza dan xenia gen 1 & gen 2. 2.rush dan terios gen 1 2 & 3. 3.calya & sigra. 4.gran max. 5.Apv. 😁😁😁",9/4/2025 11:35
"mobil gua sigra, gua akuin mobilnya kurang enak,, msh enakan ayla, soalnya mobil pertama ayla,",9/5/2025 12:41
mobil sejuta umat.. paling laris terjual.. muat penumpang banyak bagasi lega.. BBM irit pajak murah,10/27/2025 1:59
"kata siapa suspensinya keras, berani di adu sama suspensi avanza model lama sumpah enak suspensi sigra",9/9/2025 15:14
Alhamdulillah gw udah PK 8 THN bang ok2 ajah ga ke panasan ga ke hujann😃,9/4/2025 13:42
maklum mobil murah min... 😁,9/4/2025 13:40
Setidaknya keluargaku tidak kehujan dan kepanasan dan setidaknya itu hasil dri keringat sendiri bang 🙏,9/4/2025 15:17
betul bg. sebenar nya bisa juga beli fortuner / Pajero tapiii. pajak nya aja seharga motor bru,10/7/2025 2:37
mending beli Avanza old 😁,9/5/2025 9:24
"kataku emg iya sii,,pintunya ringan tipis,jok dlmnya kecil..",9/4/2025 21:25
Daihatsu sigra dan Toyota calya sering banget disewa oleh ayahku untuk berbelanja di mall🥰🥰🥰,9/28/2025 11:46
Saya punya Sigra 5 unit bang 😭,9/5/2025 23:16
Cuma DAIHATSU CHARADE yg empuk suspensinya mesin joss bbm irit.🥰,9/4/2025 16:33
"kalau bagi saya bersyukur bisa beli ini mobil calya,dan kalau dibawa jalan jauh nga terlalu mikir minyak kernah super irit,,",10/3/2025 7:29
"tapi naik sigra enak sih klo di kota², ya gua aja kepincut sama ni mobil",10/23/2025 17:35
"jujur,,gue ngakak banget dgn rostingan elu bang,,padahal gue user Sigra hahaha 👍👍👍",10/13/2025 11:50
syukur in ja bro. jangan ngeremehin Sigra anjirrrr,11/16/2025 10:36
"mobil itu yg di punya, rezekinya mampunya beli sigra,MasyaAllah tabarakaallah, Alhamdulillah banyak2 bersyukur. bergaya sesuai kemampuan, biar dia kata mobil taxi, mobil rakyat jetala dll, Alhamdulillah bawa anak2 gak kepanasan dan gak ke hujanan, kredit gak nungak, gak di kejar2 lesing aja itu suatu keberkahan.",11/13/2025 8:23
lu rosting mobil gua bang .lu kaga tau gua kredit sampe basah ke sempak²😀,11/18/2025 13:35
gpp lcgc yg penting anak istri ndak panas/kehujanan 1:21 km dan pajak murah 🥰🥰🥰,10/11/2025 3:30
jangan pada baper yah....jangan kan mobil LCGC..mobil premium aja dia roasting bro...hitung2 hiburan gratis 😁😁😁😁😁,10/13/2025 17:45
"jual sigra type R 2024 ganti ke mazda2 2010, eh skrg malah jual mazda2 mau beli sigra lgi Ya Allah 😭😭 gak kuat sma sperpart mazda nya + mayan boros",11/7/2025 10:35
sigra nyimak😅,11/23/2025 6:17
Hadir sing penting engga kepanasan dan kehujanan untuk keluarga pas.,9/22/2025 5:25
sigra selalu di depan,9/11/2025 12:33
yg ngatain calya sama sigra tuh biasanya nggk punya mobil biasanya. hampir 200 jt tuh sekarang harganya,10/2/2025 14:19
kmren review calya kejam kali bg.. ini kagak kejam.. malahan enak.. pdahal sama nya calya sama sigra.. kebetulan mobil gua calya😌😌,11/3/2025 0:26
"Saya Dari inova grand 2012 tukar ambil unit baru sigra 2025... asli irit bener....😅😅😅 nyaman2 aja kok, cuma y ban nya kan R14 y Maklum deh...",9/29/2025 14:03
murah katanya😑,11/2/2025 15:39
"Di dunia maya, Calya sering dibully karena dianggap “murahan, rental look, suspensi gerobak, plastik everywhere”. Di dunia nyata, Calya laku keras karena fungsional, murah, 7 seater, biaya rendah → memenuhi kebutuhan keluarga menengah ke bawah. kalo mau yang lebih nyaman beli Inova bro jangan LCGC",9/8/2025 4:42
kelebihan sigra irit pajak murah. sisak nya kekurangan😁,9/8/2025 13:20
"gua pake calya / sigra manual kelemahannya di kopling yg dalam dan keras bikin kaki tegang pas kondisi jalan macet ,tarikan juga ngos""an.. 😃",9/5/2025 3:06
😂😂😂😂mobilku itu bang....mobil perang.....handallllllllll,9/6/2025 0:31
utamakan fungsi aja sih bos mau gmna pun klo buat kerja taksi ya untung bro irit😂😂🙏,9/5/2025 4:34
sayamah orang kuli..bisa kebeli Sigra / cayla juga udah allhamdulilah. banget kayanya. bismillah mga bisa kebeli cash,11/10/2025 4:06
permisi sales Daihatsu numpang lewat jadi Sigra lagi di gunjingin ya 🤭,11/6/2025 16:23
tapi klw boleh jujur bang.. lebih irit & tangguh naik tanjakan ya sigra 😁 mobil lama kami sigra setelah upgrade ke all new terios lebih boros terios & gak guat nanjak 😂,11/26/2025 23:13
Allhamdullilah yg penting punya bang GK minta dan nyusahin orng Allhamdullilah cuma mampu beli Sigra dri hasil kerja keras...Dibilang murah bagi sya mahal lah 4 Thun 200 jta kredit 🙏😁 bersyukur untk didunia matipun GK dibawa 😁,11/26/2025 4:09
Isi satu liter bisa keliling dunia anjayyyyy,10/19/2025 11:59
ni mobil yg punya jln😁😁,9/10/2025 6:01
mayan🗿,9/6/2025 9:14
"pemegang pasaran terlaris mobil di Indonesia Sigra calya, murah hemat mau dibilang apapun ngk urus yg penting ngk kehujanan ngk kepanasan utk yg baru memiliki mobil itu sudah dianggap istimewa",9/8/2025 23:18
"mobil paling bandel ini..... kagak banyak rewel,kagak banyak jajan........",9/16/2025 0:16
ac nya ga dobel.. kasian yg duduk dblkng kpnasan,10/27/2025 14:09
11:30,11/29/2025 14:29
Saya kesana Sekarang!! Posisi sesuai titik ya kak? 😅,9/6/2025 11:42
