review,tanggal komentar
"Karena Avanza-Xenia skrg sudah terasa Overprice , padahal duet ini mobil sejuta umat duluanya, tapi karena strategi bisnis harga mereka di up, supaya kelas LCGC bisa laku, sebab kalau harga mereka beda tipis tentu konsumen lebih pilih Avanza/Xenia",2025-05-28 16:14:27
"Mayoritas konsumen kita itu jarang melakukan riset, hanya berpikir harga jual kembali, padahal banyak hal yang perlu dipertimbangkan dalam membeli  suatu barang.",2025-05-28 16:14:27
"Orang beli LCGC itu salah satu alasannya adalah mobil nya kecil, mudah dipakai di dalam kota. Juga perawatannya murah, pajaknya murah . Klo dibnding2kan dengan mobil beda kelas/ beda jenis ya ga nyambung",2025-06-28 16:14:27
"Jadi inget yang dibilang pak Bebin Djuana.  ""Apanya yang low cost? Harganya tembus Rp 100 juta. Apa yang green car? Konsumsi BBM 20 km/l susah banget, angka hasil lab bukan realita di lapangan; juga dominan masih pakai BBM beroktan rendah, tinggi sulfur, emisinya tinggi, dan disubsidi pula"".  🤣🤣🤣🤣🤣🤣",2025-05-28 16:14:27
"Karena sebelum pengajuan kredit di setujui leasing, mereka sudah mikir ""harga jual kembali"" 😅 jadi harus merk² itu",2025-05-28 16:14:27
"Bukan karena lmpv udah overprice, tp Yg paling dilirik lcgc itu karena pajak tahunannya yg terjangkau, kalaupun lmpv yg masih masuk akal ya ertiga dan lsuv xl7, pajak tahunannya tahun 2023 aja 2.7 juta, beda sama avanza, xenia dan xpander pajaknya 3-4.5 juta. Makanya orang yg g mau lcgc ya larinya ertiga atau xl7",2025-05-28 16:14:27
"normal pemerintah : klo lu masih mau jualan disini, bikin harga murah pengusaha : waduUh.... ngurangin untung oe laahh....  abnormal pemerintah : klo lu masih mau jualan disini, bikin harga murah pengusaha : ok siap, bisa diatuur... (fomo aja dulu.. udah laku, tinggal oe naikin harganya tanpa naikin kwalitas)",2025-05-28 16:14:27
Mobil nya sangat sangat tidak nyaman dan aman .. Tapi kembali lagi semua tergantung kemampuan daya beli.. Tetap semangat 🔥,2025-05-28 16:14:27
"karena bensin irit pake banget secara logika dari cc nya, pemerintah dan pabrikan tau dan paham kalo rata"" masyarakat Indonesia yg penting irit dan awet, sisanya ga di pikirin",2025-06-28 16:14:27
"Mimin ketularan penyakit ""mendang mending"", suka suka mereka lah toh uang mereka juga.🤣🤣🤣",2025-05-28 16:14:27
"Menurut saya kesalahan avanza xenia itu menggunakan penggerak roda depan. Andai penggerak roda belakang, akan ada perbedaan dengan lcgc, yang mungkin bisa membuat orang berfikir dua kali untuk beli lcgc dan beralih ke avanza/xenia. Terutama untuk orang yang perjalanannya sering ke daerah pegunungan. Atau orang yang selalu muat berat",2025-12-28 16:14:27
"Tahun kemaren saya ambil bekas aja dengan anggaran hampir 200jt, saya ambil Veloz 2020. Dan Alhamdulillah saya gak salah pilih",2025-05-28 16:14:27
Xenia sahabatku... mobil tangguh mesin badak perawatan gampang spart part melimpah😊,2025-06-28 16:14:27
"Bener Min. Tadinya saya mau beli Agya.  Tp sempit (pengen 3 baris).  Calya 3 baris tp ga proper buat 7 org, harganya pun udh mepet 200jt.  Akhirnya saya pilih All New Avanza E MT.  Kebetulan 2022 lalu dpt diskon sampe 40jt.  Jdnya saya dpt All Nea Avanza E MT dgn harga dibawah 200jt 😁",2025-05-28 16:14:27
"Kembali ke Budget Oriented dan Fungsionalitas sebenarnya, orang pilih LCGC lebih kepada Risiko dan Mobilitas, ketimbang beda 5 atau 10 juta atau kenyamanan. Pengalaman punya LCGC namun dirawat dengan baik dan digunakan dengan sesuai, benar2x menghemat kantong dibandingkan MPV saya satu lagi yang di atas kelasnya.",2025-05-28 16:14:27
"Alasan saya ambil lcgc untuk pemakaian harian adalah karena murah, dan gak sayang kena baret.. Sesimpel itu.",2025-05-28 16:14:27
Terimakasih banyak edukasinya bang 🙏🏻🙏🏻🙏🏻,2025-05-28 16:14:27
makannya lcgc baru masih dimininati karena second nya rata2 bekas taxi online yg km nya diputar puter. tapi semua pasti punya pilihan masing2.,2025-05-28 16:14:27
"Apa cuma saya yg berfikir daripada beli LCGC di harga hampir 200an, mending ambil mobil second gak sih? Misal ambil innova, boros emang iya sih. Tapi kenyamanan dan ketahanan kaki kakinya juara sih",2025-05-28 16:14:27
Walaupun tenaganya kecil tapi yang bawa gila jir tiap kali ketemu mobil ini calya atau sigra ga bisa di kejar jir wkwk,2025-05-28 16:14:27
"kayak udah terhipnotis, tiap buka hp pasti ke 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝",2025-05-28 16:14:31
ＰＵＬＡＵＷＩＮ tuh kayak tenda nyaman di tengah chaos,2025-05-28 16:14:31
Sering senyum sendiri gara-gara 🅟🅤🅛🅐🅤🅦🅘🅝.,2025-05-28 16:14:31
"Gak banyak drama, yang penting ada ＰＵＬＡＵＷＩＮ.",2025-05-28 16:14:31
𝘗𝘜𝘓𝘈𝘜𝘞𝘐𝘕 tuh kayak sahabat di jam-jam ngelamun,2025-05-28 16:14:31
"Saya beli New Agya 2023 baru sebagai mobil kedua untuk ganjil genap, dan bukan untuk taksol. Sampai saat ini puas.. Performa mantap power mode, paddle shift, suspensi empuk dan AC dingin sekali.",2025-05-28 16:14:31
Mimin fusebox nih FBS alias sales sujuki 🤣🤣 Canda min,2025-05-28 16:14:31
Mobilnya kecil tapi desain menarik serta harga paling murah dari semua kelas.di indo kan mayoritas masyarakat kelas menengah ke bawah,2026-02-28 16:14:31
kayak nemu tempat yang cocok banget: 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝,2025-05-28 16:14:31
Saya budget 200 Juta dulu akhirnya milih HRV Bekas 2016 harga 130 JT mesin masih oke hanya pintu belakang kiri ada penyok dikit kalo liat dari jauh gak terlalu Kelihatan tapi dilihat dari deket keliatan,2025-06-28 16:14:31
"Keunggulan LCGC itu ukurannya kecil. Parkir, putar balik, selip2 di kemacetan gampang. Meskipun makin lama yg barunya semakin melar😕",2025-05-28 16:14:31
Karena untuk citycar dipake enak.. lebih mudah dijlanan krn ukurannya kecil,2025-12-28 16:14:31
"Banyak yg beli lcgc karena ya duitnya cuma ada segitu, dan blm pengalaman dengan mobil,,drpd beli motuba yg bikin deg2an,,beli  lcgc lebih tenang",2025-11-28 16:14:31
"Dari yang low cost green car jadi jadi low car growing cost ya,, 😂",2025-05-28 16:14:31
"Pernah jadi First Buyer LCGC sudah cukup sekali saja setelah dan dijual, ganti non LCGC kenyamanannya jauh sekali",2025-05-28 16:14:31
"Niat awal nyari hiburan, nyangkut di ＰＵＬＡＵＷＩＮ.",2025-05-28 16:14:31
Suasana hati bisa berubah setelah buka 𝐏𝐔𝐋𝐀𝐔𝐖𝐈𝐍.,2025-05-28 16:14:31
"lagi scroll random, eh nyangkut di PULAUWIN",2025-05-28 16:14:31
